服务态度,店铺链接,类型,描述相符,店铺销量,店铺id,卖家昵称,店铺宝贝数量,物流速度,用户评分链接,店铺名称,店铺区域,好评率
4.62,//shop110666504.taobao.com,母婴,4.56,81,110666504,我的羽西小可爱,33,4.67,//rate.taobao.com/user-rate-UvCN4MCv0vFHyvNTT.htm,阳宝家精品牛仔童装,,97.93%
4.8,//shop110687462.taobao.com,服饰鞋包,4.78,13376,110687462,刘艳19893715,79,4.8,//rate.taobao.com/user-rate-UMCN4OF8YMCgG.htm,时尚u搭配,,98.97%
4.82,//shop106080614.taobao.com,服饰鞋包,4.75,4491,106080614,阿伦外贸屋,1063,4.83,//rate.taobao.com/user-rate-UvFN4Mmc4OmIYMQTT.htm,阿伦外贸屋,,98.27%
4.72,//shop110088505.taobao.com,服饰鞋包,4.68,8743,110088505,橙子实拍,595,4.7,//rate.taobao.com/user-rate-UvFgSMGgbMGvYMWTT.htm,橙子家橙子实拍私服定制,,99.20%
4.73,//shop106212692.taobao.com,服饰鞋包,4.69,11374,106212692,佳福妈妈商城,221,4.72,//rate.taobao.com/user-rate-UvFc4MCxSMmHWMQTT.htm,佳福妈妈商城,,96.68%
4.81,//shop102896812.taobao.com,母婴,4.77,1122,102896812,louweiminglike,162,4.8,//rate.taobao.com/user-rate-UvCNGMCvuvGxT.htm,毛毛精品童装店,浙江 杭州,98.88%
4.82,//shop104856705.taobao.com,服饰鞋包,4.78,12990,104856705,凯欧塔,15,4.78,//rate.taobao.com/user-rate-UvFcGvCx4vFcLOQTT.htm,凯欧塔,,99.18%
4.69,//shop110308108.taobao.com,服饰鞋包,4.61,4933,110308108,星爷很脆弱,465,4.65,//rate.taobao.com/user-rate-UvF84vCx4vCNLMgTT.htm,星星打小鸡,,98.02%
4.81,//shop70816583.taobao.com,母婴,4.78,868,70816583,tanym001,2432,4.8,//rate.taobao.com/user-rate-UMGIWMGHYOmcy.htm,心梦心圆童装店,,99.02%
4.68,//shop121978150.taobao.com,母婴,4.62,826,121978150,童衣天使919,83,4.68,//rate.taobao.com/user-rate-UvC8yvCI0vCv4vQTT.htm,艾宝精品童衣铺,,94.46%
4.82,//shop61116329.taobao.com,母婴,4.78,438,61116329,小秋哥_2008,104,4.84,//rate.taobao.com/user-rate-UvCQuOmxSvGcb.htm,悠悠家童品,浙江 湖州,98.57%
4.88,//shop109409855.taobao.com,母婴,4.86,339,109409855,狮子座三胞胎,98,4.86,//rate.taobao.com/user-rate-UvCNyvFk4OmxuMWTT.htm,狮子座三胞胎校服亲子,广东 东莞,99.18%
4.74,//shop114166967.taobao.com,母婴,4.67,129,114166967,zhuzhijian1318,18,4.72,//rate.taobao.com/user-rate-UvCI0MmcGvFvGvNTT.htm,依米韩舍童装,北京,97.22%
4.8,//shop111414333.taobao.com,母婴,4.71,239,111414333,mudouye,475,4.81,//rate.taobao.com/user-rate-UvF80vFQGvC8S.htm,豆宝家韩国童装,,98.12%
4.85,//shop103570665.taobao.com,母婴,4.85,239,103570665,fut126,12,4.85,//rate.taobao.com/user-rate-UMC8LvFgYvGHY.htm,丁哆哆童装,广东 广州,99.24%
4.77,//shop33033749.taobao.com,母婴,4.77,100,33033749,tea8108,167,4.82,//rate.taobao.com/user-rate-UvFHLMmc4MmxT.htm,奶茶外贸童装屋,上海,99.20%
4.81,//shop112237871.taobao.com,母婴,4.8,346,112237871,浪漫t樱花123,22,4.82,//rate.taobao.com/user-rate-UvFcYMCcyvmNSMWTT.htm,米米童装专柜,,99.01%
4.81,//shop105874323.taobao.com,母婴,4.74,128,105874323,zhang115072425,765,4.82,//rate.taobao.com/user-rate-UvFcLOmvbMCkbMgTT.htm,潮Baby童装店铺,,97.93%
4.66,//shop61997727.taobao.com,母婴,4.66,144,61997727,天祺数码专营店,57,4.67,//rate.taobao.com/user-rate-UMmvLOmvLvFH4.htm,奔跑兔童装,北京,97.89%
4.79,//shop107080498.taobao.com,服饰鞋包,4.75,147,107080498,酷酷啦1888,27,4.8,//rate.taobao.com/user-rate-UvFgLOFNYOmkGvWTT.htm,酷酷啦时尚女装,,97.62%
4.73,//shop72097892.taobao.com,母婴,4.72,163,72097892,青青童装88,382,4.72,//rate.taobao.com/user-rate-UOmkbMm8yvGIu.htm,可爱公主日韩流行童装馆,,97.85%
4.74,//shop144623367.taobao.com,服饰鞋包,4.7,15744,144623367,玲玲靓衣房2016,19,4.73,//rate.taobao.com/user-rate-UvCcLMGNGMCILONTT.htm,玲玲靓衣房2016,,99.27%
4.86,//shop106626382.taobao.com,母婴,4.79,99,106626382,蔡伟财,95,4.86,//rate.taobao.com/user-rate-UMGvSOmQbvGgW.htm,心语心锐童装,河北 邢台,99.14%
4.61,//shop71523015.taobao.com,服饰鞋包,4.54,38,71523015,zh821055895,411,4.64,//rate.taobao.com/user-rate-UMCcYMCgyvmcb.htm,holy01,,95.30%
4.7,//shop159695685.taobao.com,服饰鞋包,4.68,9162,159695685,赤橙黄绿青蓝紫1989,42,4.7,//rate.taobao.com/user-rate-UvFNLvFIuOm8LvWTT.htm,锦帛儿服饰,,98.79%
